Address	City	County	Zip		[sequence]	[summary]	[addressee]	[delivery_line_1]	[delivery_line_2]	[city_name]	[state_abbreviation]	[full_zipcode]	[notes]	[county_name]	[rdi]	[latitude]	[longitude]	[precision]	[dpv_match_code]	[dpv_footnotes]	[footnotes]	[county_fips]	[record_type]	[zip_type]	[carrier_route]	[congressional_district]	[building_default_indicator]	[elot_sequence]	[elot_sort]	[time_zone]	[utc_offset]	[dst]	[dpv_cmra]	[ews_match]	[lacslink_indicator]	[lacslink_code]	[suitelink_match]	[dpv_vacant]	[active]	[urbanization]	[primary_number]	[street_name]	[street_predirection]	[street_postdirection]	[street_suffix]	[secondary_number]	[secondary_designator]	[extra_secondary_number]	[extra_secondary_designator]	[pmb_designator]	[pmb_number]	[default_city_name]	[zipcode]	[plus4_code]	[delivery_point]	[delivery_point_check_digit]	[last_line]	[delivery_point_barcode]
8712 Quincy Avenue	Cleveland	Cuyahoga	44106		62	Match-Mailable		8712 Quincy Ave		Cleveland	OH	44106-3444	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.49333	-81.62653	Zip9	Y	AABB	N#	39035	S	Standard	C021	11		0053	A	Eastern	-5	Y	N					N	Y		8712	Quincy			Ave								44106	3444	12	7	Cleveland OH 44106-3444	441063444127
7820 Euclid Ave	Cleveland	Cuyahoga	44103		63	No Match		7820 Euclid Ave		Cleveland	OH	44103-4824	Matched street and city and state, Primary number invalid	Cuyahoga	Unknown	41.50383	-81.63438	Zip9	N	AAM3		39035	S	Standard	C014	11				Eastern	-5	Y									7820	Euclid			Ave								44103	4824			Cleveland OH 44103-4824	441034824
2503 Broadview Road	Cleveland	Cuyahoga	44109		64	Match-Mailable		2503 Broadview Rd		Cleveland	OH	44109-3300	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.43937	-81.702	Zip9	Y	AABB	N#	39035	S	Standard	C025	09		0001	A	Eastern	-5	Y	N					N	Y		2503	Broadview			Rd								44109	3300	03	3	Cleveland OH 44109-3300	441093300033
3808  East 131st. Street	Cleveland	Cuyahoga	44120		65	Match-Mailable		3808 E 131st St		Cleveland	OH	44120-4664	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.45553	-81.59155	Zip9	Y	AABB	N#	39035	S	Standard	C023	11		0069	A	Eastern	-5	Y	N					N	Y		3808	131st	E		St								44120	4664	08	1	Cleveland OH 44120-4664	441204664081
3565 MAYFIELD ROAD	CLEVELAND HEIGHTS	Cuyahoga	44118		66	Match-Mailable		3565 Mayfield Rd		Cleveland	OH	44118-1401	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.52032	-81.55732	Zip9	Y	AABB	N#	39035	S	Standard	C031	11		0031	A	Eastern	-5	Y	N					N	Y		3565	Mayfield			Rd								44118	1401	65	5	Cleveland OH 44118-1401	441181401655
2355 East 89th Street	Cleveland	Cuyahoga	44105		67	Match-Mailable		2355 E 89th St		Cleveland	OH	44106-3403	Standardized, Corrected ZIP code, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.49535	-81.62441	Zip9	Y	AABB	A#N#	39035	S	Standard	C021	11		0051	A	Eastern	-5	Y	N					N	Y		2355	89th	E		St								44106	3403	55	5	Cleveland OH 44106-3403	441063403555
6612 st. clair avenue	cleveland	Cuyahoga	44108		68	Match-Mailable		6612 Saint Clair Ave		Cleveland	OH	44103-1649	Standardized, Corrected ZIP code, Missing secondary number, Fixed abbreviations, Matched street and city and state, Confirmed without secondary	Cuyahoga	Residential	41.52558	-81.64381	Zip9	D	AAN1	A#H#N#	39035	H	Standard	C024	11	Y	0117	A	Eastern	-5	Y	N					N	Y		6612	Saint Clair			Ave								44103	1649	99	0	Cleveland OH 44103-1649	441031649990
8206 Euclid Avenue	Cleveland	Cuyahoga	44103		69	Match-Mailable		8206 Euclid Ave		Cleveland	OH	44103-5062	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.50356	-81.6306	Zip9	Y	AABB	N#	39035	S	Standard	C010	11		0016	A	Eastern	-5	Y	N					N	Y		8206	Euclid			Ave								44103	5062	06	9	Cleveland OH 44103-5062	441035062069
3311 Perkins Ave.	Cleveland	Cuyahoga	44114		70	Match-Mailable		3311 Perkins Ave		Cleveland	OH	44114-4642	Standardized, Missing secondary number, Fixed abbreviations, Matched street and city and state, Confirmed without secondary	Cuyahoga	Commercial	41.50622	-81.66398	Zip9	D	AAN1	H#N#	39035	H	Standard	C031	11	Y	0231	A	Eastern	-5	Y	N					N	Y		3311	Perkins			Ave								44114	4642	99	2	Cleveland OH 44114-4642	441144642992
11212 Snow Road	Parma	Cuyahoga	44130		71	Match-Mailable		11212 Snow Rd		Cleveland	OH	44130-1727	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.40512	-81.76771	Zip9	Y	AABB	N#	39035	S	Standard	C003	09		0102	A	Eastern	-5	Y	N					N	Y		11212	Snow			Rd								44130	1727	12	8	Cleveland OH 44130-1727	441301727128
13512 Kinsman Rd	Cleveland	Cuyahoga	44120		72	Match-Mailable		13512 Kinsman Rd		Cleveland	OH	44120-4412	Standardized, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.46466	-81.58825	Zip9	Y	AABB		39035	S	Standard	C044	11		0113	A	Eastern	-5	Y	N					N	Y		13512	Kinsman			Rd								44120	4412	12	5	Cleveland OH 44120-4412	441204412125
2592 West 14th Street	Cleveland	Cuyahoga	44113		73	Match-Mailable		2592 W 14th St		Cleveland	OH	44113-4409	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.47691	-81.69186	Zip9	Y	AABB	N#	39035	S	Standard	C003	11		0018	A	Eastern	-5	Y	N					N	Y		2592	14th	W		St								44113	4409	92	9	Cleveland OH 44113-4409	441134409929
4092 East 146th Street	Cleveland	Cuyahoga	44128		74	Match-Mailable		4092 E 146th St		Cleveland	OH	44128-1826	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.44815	-81.58022	Zip9	Y	AABB	N#	39035	S	Standard	C023	11		0040	A	Eastern	-5	Y	N					N	Y		4092	146th	E		St								44128	1826	92	3	Cleveland OH 44128-1826	441281826923
9000 Superior Avenue	Cleveland	Cuyahoga	44106		75	Match-Mailable		9000 Superior Ave		Cleveland	OH	44106-1051	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.52067	-81.62508	Zip9	Y	AABB	N#	39035	S	Standard	C013	11		0019	A	Eastern	-5	Y	N					N	Y		9000	Superior			Ave								44106	1051	00	8	Cleveland OH 44106-1051	441061051008
17625 Grovewwod	cleveland	Cuyahoga	44110		76	No Match		17625 Grovewwod		Cleveland	OH	44110	Address not found, ZIP+4 did not match		Unknown	41.56446	-81.57273	Zip5		A1	F#			Standard						None																							44110				Cleveland OH 44110	44110
12645 Lorain Ave	Cleveland	Cuyahoga	44111		77	Match-Mailable		12645 Lorain Ave		Cleveland	OH	44111-2630	Standardized, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.4595	-81.77601	Zip9	Y	AABB		39035	S	Standard	C049	09		0064	D	Eastern	-5	Y	N					N	Y		12645	Lorain			Ave								44111	2630	45	9	Cleveland OH 44111-2630	441112630459
4402 Clark Ave	Cleveland	Cuyahoga	44109		78	Match-Mailable		4402 Clark Ave		Cleveland	OH	44109-1123	Standardized, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.46975	-81.71659	Zip9	Y	AABB		39035	S	Standard	C019	11		0126	D	Eastern	-5	Y	N					N	Y		4402	Clark			Ave								44109	1123	02	3	Cleveland OH 44109-1123	441091123023
3095 Scranton Road	Cleveland	Cuyahoga	44113		79	Match-Mailable		3095 Scranton Rd		Cleveland	OH	44113-5339	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.47048	-81.69645	Zip9	Y	AABB	N#	39035	S	Standard	C009	11		0103	A	Eastern	-5	Y	N					N	Y		3095	Scranton			Rd								44113	5339	95	3	Cleveland OH 44113-5339	441135339953
977 Caledonia Ave	Cleveland	Cuyahoga	44112		80	Match-Mailable		977 Caledonia Ave		Cleveland	OH	44112-2318	Standardized, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.53493	-81.56125	Zip9	Y	AABB		39035	S	Standard	C033	11		0008	D	Eastern	-5	Y	N					N	Y		977	Caledonia			Ave								44112	2318	77	0	Cleveland OH 44112-2318	441122318770
445 Bowman St	Mansfield	Richland	44903		81	Match-Mailable		445 Bowman St		Mansfield	OH	44903-1201	Standardized, Matched street and city and state, Confirmed entire address	Richland	Commercial	40.77107	-82.52295	Zip9	Y	AABB		39139	S	Standard	C022	12		0066	D	Eastern	-5	Y	N					N	Y		445	Bowman			St								44903	1201	45	7	Mansfield OH 44903-1201	449031201457
445 Bowman St	Mansfield	Richland	44903		82	Match-Mailable		445 Bowman St		Mansfield	OH	44903-1201	Standardized, Matched street and city and state, Confirmed entire address	Richland	Commercial	40.77107	-82.52295	Zip9	Y	AABB		39139	S	Standard	C022	12		0066	D	Eastern	-5	Y	N					N	Y		445	Bowman			St								44903	1201	45	7	Mansfield OH 44903-1201	449031201457
445 Bowman St	Mansfield	Richland	44903		83	Match-Mailable		445 Bowman St		Mansfield	OH	44903-1201	Standardized, Matched street and city and state, Confirmed entire address	Richland	Commercial	40.77107	-82.52295	Zip9	Y	AABB		39139	S	Standard	C022	12		0066	D	Eastern	-5	Y	N					N	Y		445	Bowman			St								44903	1201	45	7	Mansfield OH 44903-1201	449031201457
8901 Detroit Ave.	Cleveland	Cuyahoga	44102		84	Match-Mailable		8901 Detroit Ave		Cleveland	OH	44102-6606	Standardized, Missing secondary number, Fixed abbreviations, Matched street and city and state, Confirmed without secondary	Cuyahoga	Residential	41.48033	-81.7451	Zip9	D	AAN1	H#N#	39035	H	Standard	C008	11	Y	0103	A	Eastern	-5	Y	N					N	Y		8901	Detroit			Ave								44102	6606	99	3	Cleveland OH 44102-6606	441026606993
540 Pearl St.	Mansfield	Richland	44902		85	No Match		540 Pearl St		Mansfield	OH	44902-1130	Fixed abbreviations, Matched street and city and state, Primary number invalid	Richland	Unknown	40.77223	-82.50536	Zip9	N	AAM3	N#	39139	S	Standard	C003	12				Eastern	-5	Y									540	Pearl			St								44902	1130			Mansfield OH 44902-1130	449021130
2357 Tremont Ave.	Cleveland	Cuyahoga	44113		86	Match-Mailable		2357 Tremont Ave		Cleveland	OH	44113-4633	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.4794	-81.68658	Zip9	Y	AABB	N#	39035	S	Standard	C015	11		0222	A	Eastern	-5	Y	N					N	Y		2357	Tremont			Ave								44113	4633	57	9	Cleveland OH 44113-4633	441134633579
7541 Kinsman Rd.	Cleveland	Cuyahoga	44104		87	Match-Mailable		7541 Kinsman Rd		Cleveland	OH	44104-4028	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.47855	-81.63583	Zip9	Y	AABB	N#	39035	S	Standard	C005	11		0064	D	Eastern	-5	Y	N					N	Y		7541	Kinsman			Rd								44104	4028	41	8	Cleveland OH 44104-4028	441044028418
12 Clevewland St.	Butler	Richland	44822		88	Match-Mailable		12 Cleveland St		Butler	OH	44822-9305	Standardized, Fixed street spelling, Matched street and city and state, Confirmed entire address	Richland	Commercial	40.58704	-82.42363	Zip9	Y	AABB	M#	39139	S	Standard	R001	12		0011	A	Eastern	-5	Y	N					N	Y		12	Cleveland			St								44822	9305	12	0	Butler OH 44822-9305	448229305120
911 Maud Avenue	Cleveland	Cuyahoga	44103		89	Match-Mailable		911 Maud Ave		Cleveland	OH	44103-2145	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.52896	-81.63252	Zip9	Y	AABB	N#	39035	S	Standard	C013	11		0152	D	Eastern	-5	Y	N					N	Y		911	Maud			Ave								44103	2145	11	4	Cleveland OH 44103-2145	441032145114
4301 Warrensville Ctr Rd	Warrensville Heights	Cuyahoga	44128		90	Match-Mailable		4301 Warrensville Center Rd		Cleveland	OH	44128-2840	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.44312	-81.536	Zip9	Y	AABB	N#	39035	S	Standard	C034	11		0019	A	Eastern	-5	Y	N					N	Y		4301	Warrensville Center			Rd								44128	2840	01	6	Cleveland OH 44128-2840	441282840016
7100 Euclid Ave	Cleveland	Cuyahoga	44103		91	Match-Mailable		7100 Euclid Ave		Cleveland	OH	44103-4036	Standardized, Missing secondary number, Matched street and city and state, Confirmed without secondary	Cuyahoga	Commercial	41.50304	-81.63869	Zip9	D	AAN1	H#	39035	H	Standard	C014	11	Y	0208	A	Eastern	-5	Y	N					N	Y		7100	Euclid			Ave								44103	4036	99	7	Cleveland OH 44103-4036	441034036997
